,pricing,size,address,link
48,"$279,000",2 bds1 ba-- sqft - Condo for sale,"1165 E 54th St APT 3A, Brooklyn, NY 11234",https://www.zillow.com/homedetails/1165-E-54th-St-APT-3A-Brooklyn-NY-11234/245057001_zpid/
49,"$775,000","4 bds3 ba1,767 sqft - Multi-family home for sale","1403 Troy Ave, Brooklyn, NY 11203",https://www.zillow.com/homedetails/1403-Troy-Ave-Brooklyn-NY-11203/30663494_zpid/
50,"$525,000","1 bd1 ba5,500 sqft - Condo for sale","85 8th Ave #4, Brooklyn, NY 11215",https://www.zillow.com/homedetails/85-8th-Ave-4-Brooklyn-NY-11215/30586862_zpid/
51,"$1,799,000","3 bds3 ba1,552 sqft - Townhouse for sale","150 78th St, Brooklyn, NY 11209",https://www.zillow.com/homedetails/150-78th-St-Brooklyn-NY-11209/30696762_zpid/
52,"$4,575,000","3 bds3 ba1,814 sqft - Condo for sale","115 York St PENTHOUSE 20D, Brooklyn, NY 11201",https://www.zillow.com/homedetails/115-York-St-PENTHOUSE-20D-Brooklyn-NY-11201/2060656898_zpid/
53,"$1,150,000","4 bds4 ba2,430 sqft - Multi-family home for sale","2219 E 27th St, Brooklyn, NY 11229",https://www.zillow.com/homedetails/2219-E-27th-St-Brooklyn-NY-11229/30746304_zpid/
54,"$2,998,000","4 bds4 ba3,600 sqft - House for sale","64 87th St, Brooklyn, NY 11209",https://www.zillow.com/homedetails/64-87th-St-Brooklyn-NY-11209/30699866_zpid/
55,"$3,500,000","4 bds5 ba3,432 sqft - House for sale","7422 14th Ave, Brooklyn, NY 11228",https://www.zillow.com/homedetails/7422-14th-Ave-Brooklyn-NY-11228/30705444_zpid/
56,"$3,750,000","8 bds5 ba7,480 sqft - House for sale","1806 Ditmas Ave, Brooklyn, NY 11226",https://www.zillow.com/homedetails/1806-Ditmas-Ave-Brooklyn-NY-11226/30669024_zpid/
57,"$8,450,000","6 bds6 ba5,003 sqft - Townhouse for sale","282 Garfield Pl, Brooklyn, NY 11215",https://www.zillow.com/homedetails/282-Garfield-Pl-Brooklyn-NY-11215/30587214_zpid/
58,"$8,450,000","12 bds9 ba7,372 sqft - House for sale","151 Columbia Hts, Brooklyn, NY 11201",https://www.zillow.com/homedetails/151-Columbia-Hts-Brooklyn-NY-11201/2105623452_zpid/
59,"$2,499,000","5 bds5 ba2,592 sqft - House for sale","540 E 23rd St, Brooklyn, NY 11210",https://www.zillow.com/homedetails/540-E-23rd-St-Brooklyn-NY-11210/142926331_zpid/
60,"$1,799,000","3 bds3 ba1,552 sqft - Townhouse for sale","150 78th St, Brooklyn, NY 11209",https://www.zillow.com/homedetails/150-78th-St-Brooklyn-NY-11209/30696762_zpid/
61,"$14,975,000","3 bds5 ba4,000 sqft - House for sale","12 College Pl, Brooklyn, NY 11201",https://www.zillow.com/homedetails/12-College-Pl-Brooklyn-NY-11201/2062647411_zpid/
62,"$465,000",2 bds1 ba-- sqft - Condo for sale,"876 Macon St APT 3B, Brooklyn, NY 11233",https://www.zillow.com/homedetails/876-Macon-St-APT-3B-Brooklyn-NY-11233/2123384643_zpid/
63,"$3,810,000","5 bds3 ba4,380 sqft - Multi-family home for sale","8220 12th Ave, Brooklyn, NY 11228",https://www.zillow.com/homedetails/8220-12th-Ave-Brooklyn-NY-11228/30709742_zpid/
64,"$998,000","3 bds2 ba1,216 sqft - House for sale","1951 W 4th St, Brooklyn, NY 11223",https://www.zillow.com/homedetails/1951-W-4th-St-Brooklyn-NY-11223/30734721_zpid/
65,"$649,000",1 bd1 ba500 sqft - Condo for sale,"78 8th Ave APT 6C, Brooklyn, NY 11215",https://www.zillow.com/homedetails/78-8th-Ave-APT-6C-Brooklyn-NY-11215/79715128_zpid/
66,"$448,888","3 bds2 ba1,134 sqft - House for sale","410 Vermont St, Brooklyn, NY 11207",https://www.zillow.com/homedetails/410-Vermont-St-Brooklyn-NY-11207/30634714_zpid/
67,"$2,700,000","2 bds3 ba2,285 sqft - Condo for sale","239 President St #1, Brooklyn, NY 11231",https://www.zillow.com/homedetails/239-President-St-1-Brooklyn-NY-11231/2060675352_zpid/
68,"$868,888","4 bds3 ba1,982 sqft - Multi-family home for sale","1864 Brown St, Brooklyn, NY 11229",https://www.zillow.com/homedetails/1864-Brown-St-Brooklyn-NY-11229/30729025_zpid/
69,"$1,288,000","4 bds3 ba2,036 sqft - House for sale","1964 W 13th St, Brooklyn, NY 11223",https://www.zillow.com/homedetails/1964-W-13th-St-Brooklyn-NY-11223/30734086_zpid/
70,"$1,149,000","3 bds3 ba1,776 sqft - House for sale","8713 23rd Ave, Brooklyn, NY 11214",https://www.zillow.com/homedetails/8713-23rd-Ave-Brooklyn-NY-11214/30730140_zpid/
71,"$589,000","2 bds1 ba1,083 sqft - Condo for sale","2080 77th St APT 1A, Brooklyn, NY 11214",https://www.zillow.com/homedetails/2080-77th-St-APT-1A-Brooklyn-NY-11214/30707463_zpid/
72,"$2,500,000","3 bds3 ba1,600 sqft - Condo for sale","280 Saint Marks Ave #TOWNHOUSE H, Brooklyn, NY 11238",https://www.zillow.com/homedetails/280-Saint-Marks-Ave-TOWNHOUSE-H-Brooklyn-NY-11238/300075228_zpid/
73,"$209,000",1 bd1 ba750 sqft - Condo for sale,"2260 Burnett St APT 1A, Brooklyn, NY 11229",https://www.zillow.com/homedetails/2260-Burnett-St-APT-1A-Brooklyn-NY-11229/121709858_zpid/
74,"$799,000","4 bds2 ba1,584 sqft - House for sale","19 Hyman Ct, Brooklyn, NY 11229",https://www.zillow.com/homedetails/19-Hyman-Ct-Brooklyn-NY-11229/30793426_zpid/
75,"$2,950,000","5 bds6 ba4,511 sqft - Multi-family home for sale","191 Lefferts Pl, Brooklyn, NY 11238",https://www.zillow.com/homedetails/191-Lefferts-Pl-Brooklyn-NY-11238/30614741_zpid/
76,"$309,000",1 bd1 ba800 sqft - New construction,"1171 Ocean Parkway UNIT B4, Midwood, NY 11230",https://www.zillow.com/homedetails/1171-Ocean-Pkwy-APT-B4-Brooklyn-NY-11230/2060430805_zpid/
77,"$1,429,000","5 bds3 ba2,080 sqft - Multi-family home for sale","950 71st St, Brooklyn, NY 11228",https://www.zillow.com/homedetails/950-71st-St-Brooklyn-NY-11228/30693778_zpid/
78,"$535,000","6 bds2 ba2,024 sqft - Multi-family home for sale","77 Euclid Ave, Brooklyn, NY 11208",https://www.zillow.com/homedetails/77-Euclid-Ave-Brooklyn-NY-11208/30641521_zpid/
79,"$1,149,000","3 bds3 ba1,776 sqft - House for sale","8713 23rd Ave, Brooklyn, NY 11214",https://www.zillow.com/homedetails/8713-23rd-Ave-Brooklyn-NY-11214/30730140_zpid/
80,"$849,000","4 bds3 ba1,624 sqft - Multi-family home for sale","1793 W 8th St, Brooklyn, NY 11223",https://www.zillow.com/homedetails/1793-W-8th-St-Brooklyn-NY-11223/30721689_zpid/
81,"$269,000",2 bds1 ba967 sqft - Condo for sale,"10 E 43rd St APT 5E, Brooklyn, NY 11203",https://www.zillow.com/homedetails/10-E-43rd-St-APT-5E-Brooklyn-NY-11203/245015891_zpid/
82,"$848,000",3 bds2 ba-- sqft - Multi-family home for sale,"2382 Brigham Street, Sheepshead Bay, NY 11229",https://www.zillow.com/homedetails/2382-Brigham-St-Brooklyn-NY-11229/30747501_zpid/
83,"$1,429,000","5 bds3 ba2,080 sqft - Multi-family home for sale","950 71st St, Brooklyn, NY 11228",https://www.zillow.com/homedetails/950-71st-St-Brooklyn-NY-11228/30693778_zpid/
84,"$2,495,000","5 bds3 ba3,120 sqft - Multi-family home for sale","336 Park Pl, Brooklyn, NY 11238",https://www.zillow.com/homedetails/336-Park-Pl-Brooklyn-NY-11238/30590488_zpid/
85,"$3,500,000","4 bds4 ba2,920 sqft - Multi-family home for sale","330B President St, Brooklyn, NY 11231",https://www.zillow.com/homedetails/330B-President-St-Brooklyn-NY-11231/2060943500_zpid/
86,"$974,999","3 bds2 ba1,384 sqft - House for sale","1175 86th Street, Dyker Heights, NY 11228",https://www.zillow.com/homedetails/1175-86th-St-Brooklyn-NY-11228/30711199_zpid/
87,"$2,499,000","4 bds5 ba4,600 sqft - House for sale","8 Whitman Dr, Brooklyn, NY 11234",https://www.zillow.com/homedetails/8-Whitman-Dr-Brooklyn-NY-11234/30788219_zpid/
88,"$499,000",3 bds2 ba-- sqft - House for sale,"1065 Hendrix Street, East New York, NY 11207",https://www.zillow.com/homedetails/1065-Hendrix-St-Brooklyn-NY-11207/30648806_zpid/
